City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,61.21,55,55,4.38,broken clouds
80,Oranjemund,NA,-28.55,16.4333,54.57,92,80,7.87,broken clouds
81,Qaqortoq,GL,60.7167,-46.0333,48.47,79,48,5.82,scattered clouds
82,Tiquisio,CO,8.5597,-74.2669,82.0,88,100,2.26,overcast clouds
83,Shirokiy,RU,49.758,129.523,63.3,95,50,9.33,scattered clouds
84,Ponta Do Sol,PT,32.6667,-17.1,71.71,75,5,7.09,clear sky
85,Hermanus,ZA,-34.4187,19.2345,53.8,86,100,12.5,light rain
86,Mirabad,AF,30.4362,61.8383,92.28,14,2,7.74,clear sky
87,Provideniya,RU,64.3833,-173.3,47.53,71,71,8.08,broken clouds
88,Ayorou,NE,14.7308,0.9174,94.64,34,63,7.43,broken clouds
89,Chuy,UY,-33.6971,-53.4616,55.26,97,87,4.88,overcast clouds
90,Nikolskoye,RU,59.7035,30.7861,71.49,72,17,6.33,few clouds
91,Pangkalanbuun,ID,-2.6833,111.6167,73.29,99,65,1.88,broken clouds
92,Porto Novo,BJ,6.4965,2.6036,75.65,84,99,7.65,overcast clouds
93,Champerico,GT,14.3,-91.9167,93.74,73,42,11.48,scattered clouds
94,Katsuura,JP,35.1333,140.3,78.3,84,0,18.68,clear sky
95,Pokhara,NP,28.2333,83.9833,71.55,95,100,1.25,overcast clouds
96,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.02,39,8,1.61,clear sky
97,Tazovskiy,RU,67.4667,78.7,45.27,96,100,9.22,light rain
98,Ugoofaaru,MV,5.6667,73.0,81.59,76,100,17.0,overcast clouds
99,Qaanaaq,GL,77.484,-69.3632,40.05,92,100,7.29,light rain
100,Bethel,US,41.3712,-73.414,94.01,43,75,5.75,broken clouds
101,Berlevag,NO,70.8578,29.0864,53.6,82,75,14.97,broken clouds
102,Fortuna,US,40.5982,-124.1573,71.92,68,8,3.0,clear sky
103,Chimbote,PE,-9.0853,-78.5783,64.22,78,6,10.31,clear sky
104,Bluff,NZ,-46.6,168.3333,33.8,85,10,7.27,clear sky
105,Atuona,PF,-9.8,-139.0333,77.67,77,9,14.45,clear sky
106,Kapaa,US,22.0752,-159.319,82.72,70,75,16.11,broken clouds
107,Yulara,AU,-25.2406,130.9889,54.43,40,5,8.9,clear sky
108,San Patricio,US,28.017,-97.5169,97.18,43,3,16.8,clear sky
109,Castro,BR,-24.7911,-50.0119,61.99,67,68,3.6,broken clouds
110,Komsomolskiy,UZ,40.4272,71.7189,83.12,30,0,4.61,clear sky
111,Warrnambool,AU,-38.3833,142.4833,51.82,92,100,16.58,light rain
112,Santacruz,CO,1.5209,-77.2621,69.35,73,75,6.91,light rain
113,Saldanha,ZA,-33.0117,17.9442,53.65,89,100,4.12,overcast clouds
114,Muros,ES,42.7762,-9.0603,66.09,73,0,11.86,clear sky
115,Bathsheba,BB,13.2167,-59.5167,84.81,80,20,14.97,few clouds
116,Tomatlan,MX,19.9333,-105.25,90.75,60,90,10.63,overcast clouds
117,Torbay,CA,47.6666,-52.7314,81.37,67,75,11.5,broken clouds
118,Nouadhibou,MR,20.931,-17.0347,76.98,88,26,5.75,scattered clouds
119,San Cristobal,VE,7.7669,-72.225,77.18,58,64,5.91,broken clouds
120,Mahebourg,MU,-20.4081,57.7,67.24,88,75,6.91,broken clouds
121,Odessa,UA,46.4775,30.7326,73.09,48,0,9.93,clear sky
122,Pietersburg,ZA,-23.9045,29.4688,52.65,76,92,0.0,overcast clouds
123,Quatre Cocos,MU,-20.2078,57.7625,67.08,78,13,16.11,light rain
124,Sorland,NO,67.667,12.6934,49.86,89,100,20.45,overcast clouds
125,New Norfolk,AU,-42.7826,147.0587,49.91,85,100,2.3,overcast clouds
126,Aksarka,RU,66.5606,67.7975,46.04,93,100,6.91,overcast clouds
127,Hambantota,LK,6.1241,81.1185,77.34,100,20,4.61,few clouds
128,Jalingo,NG,8.8833,11.3667,74.32,92,100,3.56,overcast clouds
129,Waipawa,NZ,-41.4122,175.5153,44.17,75,100,3.51,overcast clouds
130,Wattegama,LK,6.7989,81.4808,74.82,89,100,4.38,overcast clouds
131,Panguna,PG,-6.3164,155.4848,75.7,59,3,1.36,clear sky
132,Kitui,KE,-1.367,38.0106,58.24,81,39,7.85,scattered clouds
